subscription_id,user_id,plan_id,start_date,renew_date
S971,U221,1,2023-03-16,2023-04-17
S9710,U230,1,2023-03-16,2023-04-17
S9711,U231,2,2023-03-16,2023-04-17
S9712,U232,2,2023-03-16,2023-04-17
S9713,U233,1,2023-03-16,2023-04-17
S9714,U234,2,2023-03-16,2023-04-17
S9715,U235,2,2023-03-16,2023-04-17
S9716,U236,1,2023-03-16,2023-04-17
S9717,U237,2,2023-03-16,2023-04-17
S9718,U238,2,2023-03-16,2023-04-17
S9719,U239,1,2023-03-16,2023-04-17
S972,U222,2,2023-03-16,2023-04-17
S972,U223,2,2023-03-16,2023-04-17
S9720,U240,2,2023-03-16,2023-04-17
S9721,U241,2,2023-03-16,2023-04-17
S9722,U242,1,2023-03-16,2023-04-17
S9723,U243,2,2023-03-16,2023-04-17
S9724,U244,2,2023-03-16,2023-04-17
S9725,U245,1,2023-03-16,2023-04-17
S9726,U246,2,2023-03-16,2023-04-17
S9727,U247,2,2023-03-16,2023-04-17
S9728,U248,1,2023-03-16,2023-04-17
S9729,U249,2,2023-03-16,2023-04-17
S974,U224,1,2023-03-16,2023-04-17
S975,U225,2,2023-03-16,2023-04-17
S976,U226,2,2023-03-16,2023-04-17
S979,U229,2,2023-03-16,2023-04-17
S9800,U252,2,2023-02-19,2023-03-19
