title_id,title_name,description,release_year,title_duration,age_rating,title_type
S0000277,Alice in Borderland,"An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive.",2020,1 Season,TV-MA,TV Show
S0000303,Alma Matters,"Alumni of India’s elite academic institutes share the harsh realities, pleasant surprises and transformative journeys of their college experiences.",2021,1 Season,TV-MA,TV Show
S0000390,Answer for Heaven,An angel falls to earth to investigate why humans are doing fewer good deeds – and falls in with a hard-charging crime reporter and his news team.,2019,1 Season,TV-MA,TV Show
S0000409,Ares,"Aiming to become part of Amsterdam's elite, an ambitious college student joins an exclusive society, unaware it's hiding a horrifying secret.",2020,1 Season,TV-MA,TV Show
S0000574,Beats,"On Chicago's South Side, hip-hop prodigy August Monroe navigates crippling anxiety and new creative frontiers with the help of an unlikely mentor.",2019,110 min,TV-MA,Movie
S0000728,Blood Pact,"An ambitious TV reporter uses risky and ethically questionable methods to report on gang wars and police corruption in the Amazon port of Belém, Brazil.",2018,1 Season,TV-MA,TV Show
S0000827,Brotherhood,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction.",2019,1 Season,TV-MA,TV Show
S0000909,Case 39,A naïve social worker brings a 10-year-old child into her home to rescue the girl from abusive parents – only to learn that she isn't what she seems.,2009,111 min,R,Movie
S0000991,Chris Rock Total Blackout: The Tamborine Extended Cut,"In this extended cut of his 2018 special, Chris Rock takes the stage for a special filled with searing observations on fatherhood, infidelity and politics.",2021,98 min,TV-MA,Movie
S0001039,Clive Davis: The Soundtrack of Our Lives,This music-driven documentary charts Clive Davis' 50-year career as one of the world's most influential record moguls.,2017,124 min,TV-MA,Movie
S0001203,Daughter From Another Mother,"After realizing their babies were exchanged at birth, two women develop a plan to adjust to their new lives: creating a single —and peculiar— family.",2021,1 Season,TV-Show,TV-MA
S0001278,Derry Girls,"Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager.",2019,2 Seasons,TV-MA,TV Show
S0001279,Designated Survivor,America's fate rests in the hands of a low-level official after an attack on Washington decimates the government in this gripping political thriller.,2019,3 Seasons,TV-MA,TV Show
S0001363,Dorohedoro,"Amnesiac Caiman seeks to undo his lizard head curse by killing the sorcerer responsible, with his friend Nikaido's help. In the Hole, that's a threat.",2020,1 Season,TV-MA,TV Show
S0001374,Dr. Seuss' The Lorax,The forest-dwelling Lorax has to stop the short-sighted Once-ler from ruining the environment for profit in this adaptation of the Dr. Seuss classic.,2012,86 min,PG,Movie
S0001409,Duck Duck Goose,"As his flock's annual migration nears, a carefree goose is grounded with an injury and takes a pair of lost ducklings under his wing.",2018,92 min,PG,Movie
S0001497,Emily in Paris,"After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance.",2020,1 Season,TV-MA,TV Show
S0001539,Examination of Conscience,"Allegations of child sexual abuse in Spain's Catholic institutions are examined in interviews with survivors, clergy, journalists and other experts.",2019,1 Season,TV-MA,TV Show
S0001549,Extreme Engagement,An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?,2019,1 Season,TV-MA,TV Show
S0001565,Familiar Wife,"After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different.",2018,1 Season,TV-MA,TV Show
S0001567,Family Business,"After learning France is about to legalize pot, a down-on-his-luck entrepreneur and his family race to turn their butcher shop into a marijuana café.",2020,2 Seasons,TV-MA,TV Show
S0001764,Game Winning Hit,An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.,2009,1 Season,TV-MA,TV Show
S0001827,Girlfriends' Guide to Divorce,"After the world learns the truth about her failing marriage, a successful self-help author tries to salvage her career and find her way as a divorcée.",2019,5 Seasons,TV-MA,TV Show
S0001988,Hating Peter Tatchell,This documentary follows gay rights activist Peter Tatchell from his early life to his fight for justice amid controversy and political turmoil.,2020,91 min,TV-MA,Movie
S0002169,I am Jonas,"A turbulent past haunts Jonas, who recalls his teenage love affair with the impulsive, twisted and yet irresistible Nathan.",2019,82 min,TV-MA,Movie
S0002244,Ingress: The Animation,"After scientists discover a mysterious substance that can influence human minds, two factions wage an all-out battle to control its awesome power.",2018,1 Season,TV-MA,TV Show
S0002308,It's Okay to Not Be Okay,An extraordinary road to emotional healing opens up for an antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,2020,1 Season,TV-MA,TV Show
S0002365,Jerry Seinfeld: Comedian,Christian Charles's documentary follows established comedian Jerry Seinfeld and up-and-comer Orny Adams as they navigate the stand-up circuit.,2002,81 min,R,Movie
S0002371,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Through the lens of his stunningly immersive performance as Andy Kaufman, Jim Carrey ponders the meaning of life, reality, identity and career.",2017,94 min,TV-MA,Movie
S0002515,Kevin Hart: Don’t F**k This Up,"Amid turmoil in his career and marriage, comedian and film star Kevin Hart opens up about his personal breakthroughs as he navigates crises and fame.",2019,1 Season,TV-MA,TV Show
S0002771,Lommbock,"After finding love in drug-free Dubai, Stefan returns to Germany to grab documents for his wedding. But old buddy Kai's bad habits complicate things.",2017,106 min,TV-MA,Movie
S0003066,Michael McIntyre: Showman,"Charming comic Michael McIntyre talks family, technology, sharks, accents and the time he confused himself for a world leader in this stand-up special.",2020,63 min,TV-MA,Movie
S0003392,"Newly Rich, Newly Poor","After learning they were switched at birth, wealthy Andrés and working-class Brayan must adjust to the families and lifestyles they were meant to have.",2007,1 Season,TV-MA,TV Show
S0003549,Operation Finale,"In 1960, Israeli spies undertake a daring mission to capture notorious Nazi war criminal Adolf Eichmann and bring him to justice. Based on real events.",2018,123 min,PG-13,Movie
S0003551,Operation Varsity Blues: The College Admissions Scandal,Reenactments drive this documentary investigating the mastermind behind a scam to get the kids of rich and famous families into top US universities.,2021,100 min,R,Movie
S0003626,Paradise PD,"An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case.",2021,3 Seasons,TV-MA,TV Show
S0003731,Polar,"An assassin on the verge of retirement must put the good life on hold when his greedy boss sends a squad of young, ruthless killers to take him out.",2019,119 min,TV-MA,Movie
S0004030,RUSSELL BRAND: RE:BIRTH,Russell Brand gets loquacious in London as he ruminates on the state of the world and marvels over how his life changed the moment he became a father.,2018,63 min,TV-MA,Movie
S0004085,Santana,Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago.,2020,107 min,TV-MA,Movie
S0004152,Self Made: Inspired by the Life of Madam C.J. Walker,An African American washerwoman rises from poverty to build a beauty empire and become the first female self-made millionaire. Based on a true story.,2020,1 Season,TV-MA,TV Show
