user_id,title_id,rating_value
U221,S0000277,1
U221,S0000409,1
U221,S0001203,2
U221,S0001363,2
U222,S0000277,2
U222,S0001363,2
U222,S0001374,2
U222,S0002371,2
U223,S0000277,2
U223,S0001409,1
U223,S0001497,2
U223,S0001539,1
U223,S0001549,2
U224,S0000277,1
U224,S0001567,1
U224,S0001764,1
U224,S0001827,2
U224,S0001988,1
U224,S0002169,2
U224,S0002365,1
U224,S0003066,2
U225,S0000277,1
U225,S0001203,2
U226,S0001279,2
U227,S0000277,2
U227,S0001363,2
U229,S0000277,2
U229,S0001363,2
U230,S0000277,2
U231,S0001539,1
U232,S0001549,2
U233,S0001565,2
U234,S0000277,2
U235,S0000277,2
U236,S0000277,2
U236,S0002308,2
U236,S0002365,2
U236,S0002371,2
U236,S0002515,2
U236,S0002771,2
U237,S0000277,1
U237,S0003549,1
U237,S0003551,1
U237,S0003731,1
U237,S0004030,1
U238,S0000277,2
U238,S0001567,2
U238,S0003626,1
U238,S0004030,2
U242,S0000277,1
U242,S0001764,2
U242,S0001988,1
U242,S0002169,2
U242,S0002244,2
U247,S0000277,2
U247,S0001374,2
U247,S0001409,2
U247,S0001497,2
U247,S0001549,1
U247,S0001565,2
U247,S0001567,2
U247,S0001764,2
U247,S0001827,2
U247,S0001988,2
U251,S0000277,1
U251,S0003551,1
U256,S0000277,2
U256,S0002308,1
U256,S0003551,2
U256,S0003626,2
U257,S0000277,2
U257,S0003731,2
